City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Acapulco,MX,2021-05-14 19:14:12,16.8634,-99.8901,87.8,74,40,11.5
88,Pauini,BR,2021-05-14 19:14:12,-7.7136,-66.9764,80.51,83,100,2.57
89,Micheweni,TZ,2021-05-14 19:14:13,-4.9667,39.8333,78.8,80,32,13.91
90,Bethel,US,2021-05-14 19:14:13,41.3712,-73.414,75.2,22,90,5.75
91,Pinega,RU,2021-05-14 19:14:13,64.7001,43.3936,58.55,70,73,4.29
92,Champerico,GT,2021-05-14 19:14:14,14.3,-91.9167,91.4,58,40,6.91
93,Fortuna,US,2021-05-14 19:14:14,40.5982,-124.1573,52.0,100,90,10.36
94,Canutama,BR,2021-05-14 19:14:15,-6.5339,-64.3831,88.43,57,49,4.16
95,Port Elizabeth,ZA,2021-05-14 19:14:15,-33.918,25.5701,60.8,82,0,4.61
96,Yali,CO,2021-05-14 19:14:15,6.6746,-74.8343,79.77,61,100,3.76
97,Boffa,GN,2021-05-14 19:14:16,10.1667,-14.0333,81.46,67,23,9.08
98,Tiksi,RU,2021-05-14 19:14:16,71.6872,128.8694,32.16,96,100,6.04
99,Carnarvon,AU,2021-05-14 19:14:17,-24.8667,113.6333,64.4,88,0,6.91
100,Mumford,GH,2021-05-14 19:14:17,5.2618,-0.759,81.36,82,10,11.32
101,Port-Gentil,GA,2021-05-14 19:14:18,-0.7193,8.7815,82.4,83,40,6.91
102,Sumkino,RU,2021-05-14 19:14:18,58.1108,68.3244,65.52,53,14,6.53
103,Tarakan,ID,2021-05-14 19:12:14,3.3,117.6333,80.19,82,100,0.36
104,Mount Gambier,AU,2021-05-14 19:14:19,-37.8333,140.7667,46.4,81,75,17.27
105,Tianjin,CN,2021-05-14 19:14:19,39.1422,117.1767,62.6,94,100,6.71
106,Dikson,RU,2021-05-14 19:14:20,73.5069,80.5464,21.97,73,100,15.77
107,Baglung,NP,2021-05-14 19:14:20,28.2719,83.5898,63.55,81,45,3.65
108,Nikolskoye,RU,2021-05-14 19:14:21,59.7035,30.7861,62.6,55,0,6.71
109,Aripuana,BR,2021-05-14 19:14:21,-9.1667,-60.6333,88.14,54,97,1.86
110,Saint George,US,2021-05-14 19:13:47,37.1041,-113.5841,91.99,8,1,5.75
111,Yellowknife,CA,2021-05-14 19:14:21,62.456,-114.3525,27.0,74,90,11.5
112,Rosario,AR,2021-05-14 19:14:22,-32.9468,-60.6393,73.0,32,0,5.75
113,Nanortalik,GL,2021-05-14 19:14:22,60.1432,-45.2371,41.04,67,100,7.65
114,Ust-Nera,RU,2021-05-14 19:14:23,64.5667,143.2,28.11,72,100,3.24
115,Saint Anthony,US,2021-05-14 19:14:24,45.0205,-93.218,64.4,55,75,14.97
116,Kruisfontein,ZA,2021-05-14 19:14:24,-34.0033,24.7314,67.8,54,97,12.26
117,Mahebourg,MU,2021-05-14 19:14:24,-20.4081,57.7,77.0,73,40,11.5
118,Isangel,VU,2021-05-14 19:14:25,-19.55,169.2667,76.48,88,9,2.71
119,Port Alfred,ZA,2021-05-14 19:14:25,-33.5906,26.891,72.75,46,86,8.46
120,Broken Hill,AU,2021-05-14 19:14:25,-31.95,141.4333,46.4,81,75,5.75
121,San Quintin,MX,2021-05-14 19:14:26,30.4833,-115.95,65.75,61,0,13.42
122,Luderitz,NA,2021-05-14 19:14:26,-26.6481,15.1594,66.51,53,0,2.37
123,Tecoanapa,MX,2021-05-14 19:14:27,16.5167,-98.75,89.15,62,100,12.03
124,Qasigiannguit,GL,2021-05-14 19:14:27,68.8193,-51.1922,39.2,52,75,4.61
125,Manado,ID,2021-05-14 19:14:27,1.487,124.8455,77.0,94,20,1.14
126,Gizo,SB,2021-05-14 19:14:28,-8.103,156.8419,82.38,75,11,3.71
127,Quepos,CR,2021-05-14 19:14:28,9.4236,-84.1652,80.6,65,75,19.57
128,Torbay,CA,2021-05-14 19:14:28,47.6666,-52.7314,48.2,61,90,9.22
129,Meulaboh,ID,2021-05-14 19:14:29,4.1363,96.1285,76.57,90,99,2.91
130,Shimoda,JP,2021-05-14 19:14:29,34.6667,138.95,64.0,87,100,1.99
131,Nyurba,RU,2021-05-14 19:14:30,63.2842,118.3319,42.21,57,19,5.19
132,Cabo San Lucas,MX,2021-05-14 19:14:30,22.8909,-109.9124,96.8,23,1,6.91
133,Olafsvik,IS,2021-05-14 19:14:30,64.8945,-23.7142,41.86,67,27,7.65
134,Ponta Delgada,PT,2021-05-14 19:14:31,37.7333,-25.6667,66.2,88,40,11.5
135,Cherskiy,RU,2021-05-14 19:14:31,68.75,161.3,25.7,93,62,2.57
136,Vardo,NO,2021-05-14 19:14:32,70.3705,31.1107,35.6,75,75,16.11
137,Hithadhoo,MV,2021-05-14 19:14:32,-0.6,73.0833,81.32,80,100,13.98
138,Tessaoua,NE,2021-05-14 19:14:32,13.7574,7.9874,94.32,18,12,8.39
139,Talnakh,RU,2021-05-14 19:14:33,69.4865,88.3972,16.3,94,77,7.61
140,Hermanus,ZA,2021-05-14 19:13:10,-34.4187,19.2345,66.99,73,14,3.0
141,Aksarka,RU,2021-05-14 19:14:33,66.5606,67.7975,33.8,76,100,13.22
142,Kotka,FI,2021-05-14 19:14:34,60.4664,26.9458,59.0,58,0,4.61
143,Kahului,US,2021-05-14 19:14:34,20.8947,-156.47,75.2,73,20,12.66
144,Thompson,CA,2021-05-14 19:14:34,55.7435,-97.8558,30.2,86,90,11.5
145,Port Hardy,CA,2021-05-14 19:10:00,50.6996,-127.4199,50.0,76,90,10.36
146,Joensuu,FI,2021-05-14 19:14:35,62.6012,29.7632,55.4,82,90,4.61
147,Killybegs,IE,2021-05-14 19:14:36,54.6333,-8.45,53.6,66,0,4.61
148,Plouzane,FR,2021-05-14 19:14:36,48.3833,-4.6167,50.0,81,75,16.11
149,Nedjo,ET,2021-05-14 19:14:36,9.5046,35.5019,59.27,95,100,4.97
150,Bloomfield,US,2021-05-14 19:10:16,40.8068,-74.1854,78.01,17,20,3.44
151,Sabha,LY,2021-05-14 19:14:37,27.0377,14.4283,90.54,15,96,13.8
152,Warrnambool,AU,2021-05-14 19:14:28,-38.3833,142.4833,46.0,80,100,1.01
153,Londoko,RU,2021-05-14 19:14:38,49.0333,131.9833,49.32,96,100,6.93
154,Beira,MZ,2021-05-14 19:14:38,-19.8436,34.8389,75.2,69,20,11.03
155,Beringovskiy,RU,2021-05-14 19:14:38,63.05,179.3167,31.66,96,100,13.76
156,Ngaoundere,CM,2021-05-14 19:14:39,7.3167,13.5833,67.95,90,100,3.53
157,Grants,US,2021-05-14 19:13:06,35.1473,-107.8514,80.6,7,1,9.22
158,Codrington,AU,2021-05-14 19:14:40,-38.2667,141.9667,48.79,67,99,24.02
159,Dubai,AE,2021-05-14 19:10:23,25.2582,55.3047,87.8,62,0,2.3
160,Rumonge,BI,2021-05-14 19:14:40,-3.9736,29.4386,71.04,84,17,3.18
161,Berck,FR,2021-05-14 19:14:40,50.4,1.6,51.8,76,90,5.75
162,Umea,SE,2021-05-14 19:14:41,63.8284,20.2597,51.8,66,75,8.05
163,Mariental,NA,2021-05-14 19:14:41,-24.6333,17.9667,68.76,18,1,8.28
164,Astoria,US,2021-05-14 19:13:31,46.1879,-123.8313,55.0,82,90,12.66
165,Coquimbo,CL,2021-05-14 19:11:54,-29.9533,-71.3436,62.6,72,0,13.8
166,Uyskoye,RU,2021-05-14 19:14:42,54.3775,60.0047,66.65,48,6,2.71
167,Masuguru,TZ,2021-05-14 19:14:42,-11.3667,38.4167,74.68,69,100,4.21
168,Kaitangata,NZ,2021-05-14 19:14:43,-46.2817,169.8464,48.11,76,100,14.54
169,Kapit,MY,2021-05-14 19:14:43,2.0167,112.9333,74.23,98,95,0.72
170,Kavieng,PG,2021-05-14 19:14:44,-2.5744,150.7967,83.64,75,17,13.82
171,Nuzvid,IN,2021-05-14 19:14:44,16.7833,80.85,83.77,77,52,8.93
172,Puerto Ayacucho,VE,2021-05-14 19:14:44,5.6639,-67.6236,88.11,61,69,0.76
173,Lebu,CL,2021-05-14 19:14:45,-37.6167,-73.65,59.2,76,100,5.08
174,Morant Bay,JM,2021-05-14 19:14:45,17.8815,-76.4093,86.0,70,75,16.11
175,Mount Isa,AU,2021-05-14 19:14:46,-20.7333,139.5,59.0,26,0,10.36
176,Maarianhamina,AX,2021-05-14 19:14:46,60.0973,19.9348,53.6,76,100,3.44
177,Sept-Iles,CA,2021-05-14 19:14:46,50.2001,-66.3821,55.4,28,75,12.66
178,Kailua,US,2021-05-14 19:14:47,21.4022,-157.7394,80.6,73,40,12.66
179,Vicosa Do Ceara,BR,2021-05-14 19:14:47,-3.5622,-41.0922,69.6,96,100,3.51
180,Butaritari,KI,2021-05-14 19:14:47,3.0707,172.7902,82.53,76,83,16.75
181,Muktsar,IN,2021-05-14 19:14:48,30.4833,74.5167,86.05,35,89,4.9
182,Muros,ES,2021-05-14 19:14:48,42.7762,-9.0603,62.01,74,100,13.98
